,mmsi,latitude,longitude,speed,heading,course,rot,draught,geo_index,point
0,477195500,22.354986,114.11317,0.8,349.0,212.9,127.0,,3176,POINT(114.11317 22.354986)
1,477995029,22.317183,114.19473,0.8,237.0,190.1,-127.0,,3176,POINT(114.19473 22.317183)
2,477996922,22.423494,114.21646,0.8,330.0,109.9,-127.0,,3176,POINT(114.21646 22.423494)
3,477995029,22.3173,114.19469,0.9,297.0,142.9,127.0,,3176,POINT(114.19469 22.3173)
4,477996892,22.42172,114.21608,0.8,184.0,95.5,127.0,,3176,POINT(114.21608 22.42172)
5,477995190,22.365267,114.099266,0.8,336.0,354.0,-127.0,,3176,POINT(114.099266 22.365267)
6,477195500,22.354149,114.109764,0.9,166.0,197.9,-127.0,,3176,POINT(114.109764 22.354149)
7,477991600,22.366974,114.09997,0.8,207.0,42.3,127.0,,3176,POINT(114.09997 22.366974)
8,477765400,22.366745,114.09951,0.8,66.0,304.4,-127.0,,3176,POINT(114.09951 22.366745)
9,477996875,22.420576,114.21603,0.8,148.0,241.7,-127.0,,3176,POINT(114.21603 22.420576)
10,477995934,22.45624,114.205185,0.8,327.0,228.5,-127.0,,3176,POINT(114.205185 22.45624)
11,477996679,22.365156,114.10517,0.8,258.0,73.8,-127.0,,3176,POINT(114.10517 22.365156)
12,477996875,22.422815,114.21644,0.8,31.0,126.2,-127.0,,3176,POINT(114.21644 22.422815)
13,477995934,22.456987,114.20602,0.9,331.0,188.3,-127.0,,3176,POINT(114.20602 22.456987)
14,255806335,22.456472,114.460365,0.8,356.0,308.3,3.0,,3176,POINT(114.460365 22.456472)
15,477995161,22.36651,114.10032,0.8,328.0,25.5,127.0,,3176,POINT(114.10032 22.36651)
16,477996551,22.351105,114.11425,0.9,136.0,110.6,127.0,,3176,POINT(114.11425 22.351105)
17,413310890,22.34753,114.11999,0.9,7.0,177.2,127.0,,3176,POINT(114.11999 22.34753)
18,477991700,22.366615,114.10025,0.9,350.0,221.7,-127.0,,3176,POINT(114.10025 22.366615)
19,477608200,22.351133,114.114235,0.9,164.0,31.0,-127.0,,3176,POINT(114.114235 22.351133)
20,477996922,22.422735,114.21602,0.9,171.0,259.5,-127.0,,3176,POINT(114.21602 22.422735)
21,477996551,22.354115,114.11027,0.8,297.0,128.9,127.0,,3176,POINT(114.11027 22.354115)
22,477996924,22.366673,114.110306,0.8,79.0,54.1,127.0,,3176,POINT(114.110306 22.366673)
23,215499000,22.474346,114.45387,0.8,320.0,301.9,7.0,,3176,POINT(114.45387 22.474346)
24,477996892,22.421751,114.21629,0.8,182.0,93.5,-127.0,,3176,POINT(114.21629 22.421751)
25,477996613,22.36937,114.10209,0.9,315.0,103.2,-127.0,,3176,POINT(114.10209 22.36937)
26,477995161,22.366892,114.09949,0.8,78.0,28.6,127.0,,3176,POINT(114.09949 22.366892)
27,477765400,22.36673,114.10001,0.9,127.0,79.5,127.0,,3176,POINT(114.10001 22.36673)
28,477195500,22.35491,114.113075,0.9,326.0,208.3,-127.0,,3176,POINT(114.113075 22.35491)
29,477991700,22.364292,114.109886,0.9,212.0,127.9,127.0,,3176,POINT(114.109886 22.364292)
30,518415000,22.387154,114.28937,0.8,25.0,73.1,-127.0,,3176,POINT(114.28937 22.387154)
31,574003520,22.443624,114.242645,0.8,176.0,246.1,-127.0,,3176,POINT(114.242645 22.443624)
32,477996875,22.43478,114.23649,0.8,187.0,271.7,127.0,,3176,POINT(114.23649 22.43478)
33,477996922,22.41571,114.21551,0.8,49.0,162.5,127.0,,3176,POINT(114.21551 22.41571)
34,477996551,22.354197,114.10989,0.9,297.0,120.5,-127.0,,3176,POINT(114.10989 22.354197)
35,477996875,22.41381,114.21553,0.9,265.0,339.2,-127.0,,3176,POINT(114.21553 22.41381)
36,477765400,22.36657,114.10023,0.8,183.0,250.6,-127.0,,3176,POINT(114.10023 22.36657)
37,477995026,22.317005,114.19553,0.9,261.0,99.8,-127.0,,3176,POINT(114.19553 22.317005)
38,477996908,22.411957,114.22047,0.9,344.0,225.2,-127.0,,3176,POINT(114.22047 22.411957)
39,477996922,22.419878,114.21608,0.8,32.0,129.2,-127.0,,3176,POINT(114.21608 22.419878)
40,413900953,22.347467,114.12015,0.9,511.0,90.6,,,3176,POINT(114.12015 22.347467)
41,477840100,22.316545,114.31923,0.8,511.0,120.8,,,3176,POINT(114.31923 22.316545)
42,477995391,22.313286,114.209366,0.9,511.0,13.2,,,3176,POINT(114.209366 22.313286)
43,413902176,22.346748,114.12043,0.9,358.0,7.5,,,3176,POINT(114.12043 22.346748)
44,412462677,22.457651,114.205025,0.8,511.0,220.7,,,3176,POINT(114.205025 22.457651)
45,477996915,22.354837,114.110054,0.8,511.0,183.1,,,3176,POINT(114.110054 22.354837)
46,413901878,22.358164,114.1139,0.8,314.0,314.5,,,3176,POINT(114.1139 22.358164)
47,413849975,22.359907,114.113266,0.9,480.0,336.4,,,3176,POINT(114.113266 22.359907)
48,477995211,22.31553,114.20028,0.9,511.0,120.8,,,3176,POINT(114.20028 22.31553)
49,413900953,22.316727,114.19649,0.8,188.0,268.4,,,3176,POINT(114.19649 22.316727)
50,413858766,22.347006,114.12028,0.8,160.0,160.3,,,3176,POINT(114.12028 22.347006)
51,412529421,22.457203,114.2056,0.9,511.0,300.1,,,3176,POINT(114.2056 22.457203)
52,43955510,22.456633,114.211136,0.8,511.0,17.6,,,3176,POINT(114.211136 22.456633)
53,477995391,22.316574,114.19968,0.8,511.0,143.2,,,3176,POINT(114.19968 22.316574)
54,413865667,22.347403,114.1196,0.8,345.0,348.3,,,3176,POINT(114.1196 22.347403)
55,477995391,22.315521,114.198044,0.9,511.0,230.1,,,3176,POINT(114.198044 22.315521)
56,477991678,22.310106,114.294304,0.9,224.0,360.0,,,3176,POINT(114.294304 22.310106)
57,413867251,22.357086,114.113884,0.8,135.0,135.4,,,3176,POINT(114.113884 22.357086)
58,412481529,22.454893,114.21184,0.8,511.0,254.2,,,3176,POINT(114.21184 22.454893)
59,477995391,22.315449,114.199165,0.9,511.0,249.3,,,3176,POINT(114.199165 22.315449)
60,43290393,22.456957,114.21152,0.9,511.0,151.6,,,3176,POINT(114.21152 22.456957)
61,413995708,22.348072,114.11854,0.8,302.0,302.1,,,3176,POINT(114.11854 22.348072)
62,477990000,22.36578,114.10534,0.8,511.0,283.6,,,3176,POINT(114.10534 22.36578)
63,900012624,22.353228,114.11109,0.9,511.0,240.9,,,3176,POINT(114.11109 22.353228)
64,477995391,22.31385,114.21011,0.8,511.0,74.3,,,3176,POINT(114.21011 22.31385)
65,413901094,22.348024,114.11982,0.9,73.0,76.4,,,3176,POINT(114.11982 22.348024)
66,477995391,22.31524,114.199135,0.8,511.0,54.8,,,3176,POINT(114.199135 22.31524)
67,477990000,22.36606,114.1054,0.8,511.0,310.9,,,3176,POINT(114.1054 22.36606)
68,477995391,22.316628,114.199776,0.9,511.0,5.4,,,3176,POINT(114.199776 22.316628)
69,413907701,22.347042,114.120094,0.9,136.0,137.4,,,3176,POINT(114.120094 22.347042)
70,413850327,22.347578,114.119644,0.8,301.0,301.7,,,3176,POINT(114.119644 22.347578)
71,413867251,22.357084,114.11436,0.8,355.0,355.6,,,3176,POINT(114.11436 22.357084)
72,886688220,22.315811,114.30125,0.9,511.0,266.0,,,3176,POINT(114.30125 22.315811)
73,413866907,22.34726,114.12008,0.8,182.0,184.0,,,3176,POINT(114.12008 22.34726)
74,9132808,22.31772,114.31114,0.9,316.0,316.0,,,3176,POINT(114.31114 22.31772)
75,477995391,22.315193,114.19916,0.8,511.0,326.0,,,3176,POINT(114.19916 22.315193)
76,412529176,22.455208,114.21203,0.9,511.0,120.6,,,3176,POINT(114.21203 22.455208)
77,413762707,22.356472,114.11474,0.8,511.0,138.7,,,3176,POINT(114.11474 22.356472)
78,477995391,22.313456,114.20848,0.8,511.0,221.7,,,3176,POINT(114.20848 22.313456)
79,412461985,22.492437,114.40758,0.8,511.0,100.6,,,3176,POINT(114.40758 22.492437)
80,477995391,22.315266,114.20051,0.9,511.0,69.2,,,3176,POINT(114.20051 22.315266)
81,412470844,22.488749,114.00143,0.8,511.0,6.8,,,3176,POINT(114.00143 22.488749)
82,43955510,22.456377,114.21099,0.8,511.0,68.6,,,3176,POINT(114.21099 22.456377)
83,413906859,22.347261,114.12004,0.9,511.0,14.6,,,3176,POINT(114.12004 22.347261)
84,477995391,22.313099,114.20968,0.8,511.0,215.8,,,3176,POINT(114.20968 22.313099)
85,477996525,22.351068,114.11368,0.9,511.0,331.4,,,3176,POINT(114.11368 22.351068)
86,477995391,22.315876,114.198296,0.9,511.0,81.4,,,3176,POINT(114.198296 22.315876)
87,492604214,22.31668,114.34284,0.8,143.0,143.9,,,3176,POINT(114.34284 22.31668)
88,413901217,22.348198,114.1187,0.9,62.0,64.0,,,3176,POINT(114.1187 22.348198)
89,413900779,22.347225,114.1199,0.9,307.0,307.6,,,3176,POINT(114.1199 22.347225)
90,413844888,22.34694,114.12016,0.8,94.0,94.1,,,3176,POINT(114.12016 22.34694)
