,mmsi,latitude,longitude,speed,heading,course,rot,draught,geo_index,point
0,319085200,36.716892,-3.5190516,0.9,238.0,90.6,-28.0,,2366,POINT(-3.5190516 36.716892)
1,248218000,36.722233,-3.5264332,0.9,317.0,289.0,-27.0,,2366,POINT(-3.5264332 36.722233)
2,224051190,36.686832,-3.7888334,0.9,77.0,360.0,-127.0,,2366,POINT(-3.7888334 36.686832)
3,224222560,36.671,-3.5205116,0.9,36.0,360.0,-127.0,,2366,POINT(-3.5205116 36.671)
4,248218000,36.7232,-3.5245833,0.9,292.0,87.0,9.0,,2366,POINT(-3.5245833 36.7232)
5,225991416,36.69672,-3.51407,0.9,308.0,236.7,127.0,,2366,POINT(-3.51407 36.69672)
6,225991416,36.72019,-3.5240784,0.9,34.0,302.9,127.0,,2366,POINT(-3.5240784 36.72019)
7,224485000,36.69544,-3.5449984,0.9,137.0,338.0,20.0,,2366,POINT(-3.5449984 36.69544)
8,246474000,36.691284,-3.54755,0.9,266.0,297.0,-127.0,,2366,POINT(-3.54755 36.691284)
9,244830430,36.718815,-3.5182,0.9,333.0,316.0,-16.0,,2366,POINT(-3.5182 36.718815)
11,250006549,36.702206,-3.5130634,0.9,343.0,107.9,127.0,,2366,POINT(-3.5130634 36.702206)
12,224485000,36.719303,-3.51804,0.9,116.0,319.2,-16.0,,2366,POINT(-3.51804 36.719303)
13,224761000,36.72338,-3.5240467,0.9,290.0,250.2,0.0,,2366,POINT(-3.5240467 36.72338)
14,232021171,36.71596,-3.5189366,0.9,130.0,70.0,0.0,,2366,POINT(-3.5189366 36.71596)
15,246203000,36.62954,-3.4677083,0.9,273.0,267.6,0.0,,2366,POINT(-3.4677083 36.62954)
16,248785000,36.681973,-3.6015732,0.9,235.0,251.3,0.0,,2366,POINT(-3.6015732 36.681973)
17,538007691,36.678394,-3.506075,0.9,349.0,31.4,0.0,,2366,POINT(-3.506075 36.678394)
18,224637000,36.722157,-3.525175,0.9,271.0,59.7,0.0,,2366,POINT(-3.525175 36.722157)
19,224485000,36.723816,-3.52491,0.0,292.0,74.7,13.0,,2366,POINT(-3.52491 36.723816)
20,224485000,36.723827,-3.5248833,0.0,292.0,74.7,7.0,,2366,POINT(-3.5248833 36.723827)
21,256717000,36.706,-3.5216668,0.0,105.0,153.0,-8.0,,2366,POINT(-3.5216668 36.706)
22,224485000,36.721775,-3.5290434,0.0,128.0,219.5,7.0,,2366,POINT(-3.5290434 36.721775)
23,224485000,36.72381,-3.524905,0.0,292.0,74.7,-9.0,,2366,POINT(-3.524905 36.72381)
24,224485000,36.723804,-3.5249484,0.0,292.0,74.7,12.0,,2366,POINT(-3.5249484 36.723804)
25,256717000,36.705997,-3.5217984,0.0,111.0,208.9,-8.0,,2366,POINT(-3.5217984 36.705997)
26,224145000,36.721863,-3.52357,0.0,206.0,308.8,127.0,,2366,POINT(-3.52357 36.721863)
27,256717000,36.706,-3.5215,0.0,116.0,54.0,-9.0,,2366,POINT(-3.5215 36.706)
28,224485000,36.72381,-3.5249784,0.0,292.0,74.7,5.0,,2366,POINT(-3.5249784 36.72381)
